nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P20;20;0.95;0.2;0.09075140953063965;[696657, 707894, 502359, 964706, 445917, 1186592, 671742, 408154, 204314, 216489, 223249];24091108;38061078
P1;20;0.95;0.3;0.04880523681640625;[0, 2, 1];13;19
P3;20;0.95;0.3;0.05288124084472656;[2, 1, 3, 2];27;41
P4;20;0.95;0.3;0.07153034210205078;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;20;0.95;0.3;0.07631754875183105;[0, 1, 0, 2, 1, 1, 2, 1, 6];46;57
P8;20;0.95;0.3;0.08507776260375977;[3, 3, 0, 0, 0, 0, 1, 1, 1];112;120
P9;20;0.95;0.3;0.08510899543762207;[0, 0, 1, 1, 0, 0, 1, 1, 1];113;120
P11;20;0.95;0.3;0.049179792404174805;[0, 2, 1];108;110
P14;20;0.95;0.3;0.17065668106079102;[0, 0, 0, 3, 1, 4, 2, 4, 0, 0, 0, 0, 0, 0, 1, 1];114;134
P17;20;0.95;0.3;0.10767817497253418;[78495, 162651, 167658, 275759, 202469, 430384, 161816, 210075, 273673, 42979, 39603, 65000, 52381, 31111];9363608;13861509
P20;20;0.95;0.3;0.09092426300048828;[453833, 582664, 522753, 1123304, 709425, 1929535, 771656, 440935, 253618, 165250, 159306];24592084;39688610
P1;30;0.75;0.1;0.09527087211608887;[0, 2, 1];13;19
P3;30;0.75;0.1;0.1026315689086914;[2, 1, 2, 3];25;38
P4;30;0.75;0.1;0.13956475257873535;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;30;0.75;0.1;0.14918756484985352;[0, 1, 1, 2, 1, 0, 2, 1, 6];47;56
P8;30;0.75;0.1;0.16193509101867676;[0, 0, 0, 0, 1, 0, 1, 1, 1];117;120
P9;30;0.75;0.1;0.1616840362548828;[1, 1, 2, 0, 0, 0, 1, 1, 1];112;120
P11;30;0.75;0.1;0.09647607803344727;[0, 2, 1];108;110
P14;30;0.75;0.1;0.31008362770080566;[2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1];121;134
P17;30;0.75;0.1;0.2124032974243164;[179817, 211809, 190587, 91204, 72860, 451884, 162991, 295938, 270722, 133016, 73310, 46751, 36871, 23777];9235550;13717810
P20;30;0.75;0.1;0.1815626621246338;[1130182, 712889, 640130, 751670, 123775, 829643, 876018, 450785, 192488, 173589, 210420];23635977;37012846
P1;30;0.75;0.2;0.09536075592041016;[0, 2, 1];13;19
P3;30;0.75;0.2;0.10342550277709961;[0, 2, 2, 2];24;34
P4;30;0.75;0.2;0.14068007469177246;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;30;0.75;0.2;0.149245023727417;[0, 1, 1, 2, 1, 0, 2, 1, 6];47;56
P8;30;0.75;0.2;0.1632537841796875;[2, 2, 1, 0, 0, 0, 1, 1, 1];113;120
P9;30;0.75;0.2;0.16304230690002441;[1, 4, 0, 0, 0, 0, 1, 1, 1];112;119
P11;30;0.75;0.2;0.09686636924743652;[1, 3, 0];111;115
P14;30;0.75;0.2;0.31484460830688477;[0, 1, 0, 3, 0, 0, 1, 4, 1, 0, 2, 0, 0, 0, 1, 1];118;137
P17;30;0.75;0.2;0.21321582794189453;[266461, 176846, 123720, 237947, 116160, 282936, 145157, 427030, 223820, 126605, 73026, 65704, 19792, 36253];9070902;13870152
P20;30;0.75;0.2;0.18054747581481934;[448509, 635742, 582880, 856596, 667777, 1922750, 806235, 370824, 287576, 181947, 181196];24707453;39834600
P1;30;0.75;0.3;0.09570860862731934;[0, 2, 1];13;19
P3;30;0.75;0.3;0.10471367835998535;[2, 1, 4, 1];29;44
P4;30;0.75;0.3;0.1406571865081787;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;30;0.75;0.3;0.1496889591217041;[0, 1, 1, 2, 1, 1, 1, 1, 5];46;58
P8;30;0.75;0.3;0.16437959671020508;[1, 1, 2, 0, 0, 0, 1, 1, 1];114;120
P9;30;0.75;0.3;0.16274356842041016;[0, 0, 0, 0, 1, 0, 1, 1, 1];113;120
P11;30;0.75;0.3;0.09916448593139648;[0, 2, 1];108;110
P14;30;0.75;0.3;0.32564830780029297;[0, 2, 0, 4, 0, 2, 2, 0, 2, 1, 0, 0, 0, 1, 0, 1];117;136
P17;30;0.75;0.3;0.2130415439605713;[251349, 192057, 169563, 184032, 131911, 427523, 67743, 632912, 89826, 127127, 47623, 62626, 47566, 33019];9126596;13809379
P20;30;0.75;0.3;0.18493151664733887;[1011487, 683562, 244046, 1007444, 696098, 1821218, 814960, 372592, 303570, 162940, 200884];24421915;40323705
P1;30;0.85;0.1;0.09348297119140625;[0, 2, 1];13;19
P3;30;0.85;0.1;0.102020263671875;[2, 1, 2, 2];22;34
P4;30;0.85;0.1;0.13765931129455566;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;30;0.85;0.1;0.14689350128173828;[0, 0, 1, 2, 1, 1, 2, 1, 6];47;58
P8;30;0.85;0.1;0.16117572784423828;[0, 0, 3, 0, 0, 0, 1, 1, 1];115;120
P9;30;0.85;0.1;0.15970706939697266;[2, 0, 0, 1, 0, 0, 1, 1, 1];112;119
P11;30;0.85;0.1;0.09387493133544922;[0, 2, 1];108;110
P14;30;0.85;0.1;0.2992711067199707;[0, 1, 1, 0, 0, 2, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1];117;138
P17;30;0.85;0.1;0.2083292007446289;[375145, 218554, 142529, 307958, 40622, 460478, 155015, 447852, 16911, 135879, 55091, 68507, 45765, 13859];9209680;13724042
P20;30;0.85;0.1;0.1772756576538086;[395503, 708322, 612861, 1040282, 249077, 1694131, 635976, 413870, 257835, 205829, 132382];23651102;36720645
P1;30;0.85;0.2;0.09449195861816406;[0, 2, 1];13;19
P3;30;0.85;0.2;0.10241246223449707;[1, 3, 1, 2];24;36
P4;30;0.85;0.2;0.13822221755981445;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;30;0.85;0.2;0.14796209335327148;[0, 0, 1, 2, 1, 1, 2, 1, 6];47;58
P8;30;0.85;0.2;0.15970754623413086;[1, 1, 2, 0, 0, 0, 1, 1, 1];114;120
P9;30;0.85;0.2;0.15860795974731445;[1, 1, 2, 0, 0, 0, 1, 1, 1];112;120
P11;30;0.85;0.2;0.0957939624786377;[0, 2, 1];108;110
P14;30;0.85;0.2;0.31339430809020996;[0, 0, 0, 2, 0, 2, 2, 3, 4, 1, 1, 0, 0, 1, 0, 1];117;138
P17;30;0.85;0.2;0.20925092697143555;[29872, 188540, 157739, 42477, 190622, 461211, 149977, 650633, 176753, 123858, 89760, 7782, 50798, 32328];9107014;13613855
P20;30;0.85;0.2;0.17798709869384766;[833281, 740684, 641145, 1141510, 629853, 2132248, 522749, 201243, 293978, 146686, 110223];23295217;38215641
P1;30;0.85;0.3;0.09514331817626953;[0, 2, 1];13;19
P3;30;0.85;0.3;0.10272789001464844;[2, 2, 2, 2];26;40
P4;30;0.85;0.3;0.13946533203125;[2, 1, 0, 3, 2, 0, 1, 1];40;58
P6;30;0.85;0.3;0.14815902709960938;[0, 1, 1, 2, 1, 0, 0, 2, 6];47;55
P8;30;0.85;0.3;0.1618661880493164;[1, 1, 2, 0, 0, 0, 1, 1, 1];114;120
P9;30;0.85;0.3;0.16260194778442383;[2, 0, 0, 1, 0, 0, 1, 1, 1];112;119
P11;30;0.85;0.3;0.09525442123413086;[0, 2, 1];108;110
P14;30;0.85;0.3;0.30506157875061035;[0, 2, 1, 0, 0, 1, 0, 1, 3, 0, 1, 1, 0, 0, 1, 1];118;138
P17;30;0.85;0.3;0.21090102195739746;[239504, 203201, 97998, 311140, 125798, 431417, 110826, 80583, 226798, 75184, 51679, 49843, 54452, 37168];9091838;13359468
P20;30;0.85;0.3;0.17841863632202148;[1334500, 717223, 557145, 897176, 706037, 518275, 712378, 415799, 275162, 141961, 220427];24562239;40163399
P1;30;0.95;0.1;0.09376406669616699;[0, 2, 1];13;19
P3;30;0.95;0.1;0.10202383995056152;[1, 2, 2, 2];25;37
P4;30;0.95;0.1;0.13633465766906738;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;30;0.95;0.1;0.14432430267333984;[0, 1, 2, 1, 1, 1, 0, 1, 6];47;57
P8;30;0.95;0.1;0.1557598114013672;[1, 2, 1, 0, 0, 0, 1, 1, 1];112;118
P9;30;0.95;0.1;0.15672898292541504;[0, 0, 0, 0, 1, 0, 1, 1, 1];113;120
P11;30;0.95;0.1;0.09325408935546875;[0, 2, 1];108;110
P14;30;0.95;0.1;0.2891080379486084;[0, 2, 0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 1, 1, 1];122;136
P17;30;0.95;0.1;0.20499730110168457;[74417, 71033, 191991, 296865, 186784, 199576, 37825, 517316, 265901, 124870, 76061, 54308, 51948, 31242];9017262;13497444
P20;30;0.95;0.1;0.17410778999328613;[64969, 639456, 558356, 1140920, 220076, 1901520, 870614, 438725, 188600, 214759, 200235];24543314;37496511
