nome;iteracoes;m;tempo;estado;valor;tamanho
P3;100;5;0.023196935653686523;[0, 1, 4, 6];42;58
P4;100;5;0.030670642852783203;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;100;5;0.036322832107543945;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;100;5;0.020649433135986328;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;100;5;0.021045207977294922;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;100;5;0.006748676300048828;[1, 3, 0];111;115
P14;100;5;0.050682783126831055;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;100;5;120.00003385543823;[0, 0, 0, 1, 0, 0, 0, 0, 0, 65080, 64735, 65012, 65146, 252413];10831550;13890000
P20;100;5;120.00000858306885;[0, 0, 316712, 0, 0, 0, 0, 317673, 317355, 317214, 453257];17903458;25563459
P1;100;10;0.006834745407104492;[0, 2, 1];13;19
P3;100;10;0.023476123809814453;[0, 0, 6, 4];42;58
P4;100;10;0.03828001022338867;[0, 1, 1, 0, 4, 0, 1, 0];44;58
P6;100;10;0.04772639274597168;[0, 0, 1, 2, 3, 0, 0, 1, 4];49;58
P8;100;10;0.029200077056884766;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;100;10;0.027666091918945312;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;100;10;0.006894588470458984;[1, 3, 0];111;115
P14;100;10;0.06447458267211914;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;100;10;120.00001406669617;[0, 50883, 51052, 51117, 0, 0, 50843, 0, 51047, 50724, 50690, 50564, 50659, 238258];10714940;13890000
P20;100;10;120.00001335144043;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;100;15;0.006829023361206055;[0, 2, 1];13;19
P3;100;15;0.02300715446472168;[0, 2, 6, 1];41;58
P4;100;15;0.038231849670410156;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;100;15;0.04746365547180176;[0, 0, 0, 0, 5, 0, 1, 0, 3];49;58
P8;100;15;0.02798295021057129;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;100;15;0.027739286422729492;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;100;15;0.006743192672729492;[1, 3, 0];111;115
P14;100;15;0.08166027069091797;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;100;15;120.0000376701355;[45716, 45904, 46202, 45766, 46038, 46502, 45961, 45844, 46280, 45982, 45736, 45806, 45993, 233855];10503509;13890000
P20;100;15;120.00001072883606;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;200;2;0.0124053955078125;[0, 2, 1];13;19
P3;200;2;0.03711724281311035;[0, 2, 6, 1];41;58
P4;200;2;0.04896998405456543;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;200;2;0.05776357650756836;[0, 0, 1, 0, 5, 0, 0, 0, 1];47;58
P8;200;2;0.033509254455566406;[0, 0, 0, 0, 0, 1, 0, 0, 2];115;120
P9;200;2;0.0333712100982666;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;200;2;0.01191854476928711;[0, 2, 1];108;110
P14;200;2;0.08060002326965332;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;200;2;120.00001049041748;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 112480, 299405];11382275;13890000
P20;200;2;120.00000834465027;[0, 0, 1, 0, 0, 0, 0, 0, 0, 570230, 1572772];31004575;42860047
P1;200;5;0.013688087463378906;[0, 2, 1];13;19
P3;200;5;0.04736208915710449;[0, 0, 6, 4];42;58
P4;200;5;0.06145167350769043;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;200;5;0.07239961624145508;[0, 1, 0, 0, 4, 0, 0, 1, 3];48;58
P8;200;5;0.04200005531311035;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;200;5;0.041539669036865234;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;200;5;0.01382589340209961;[1, 3, 0];111;115
P14;200;5;0.10055947303771973;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;200;5;120.0000102519989;[0, 0, 0, 0, 0, 0, 0, 0, 0, 64675, 64890, 64708, 64967, 252745];10831642;13890000
P20;200;5;120.00000667572021;[0, 0, 316965, 0, 0, 0, 0, 316797, 317682, 316819, 453954];17907181;25567415
P1;200;10;0.013726472854614258;[0, 2, 1];13;19
P3;200;10;0.047241926193237305;[0, 0, 6, 4];42;58
P4;200;10;0.07443118095397949;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;200;10;0.09487366676330566;[1, 0, 0, 0, 4, 0, 0, 1, 6];51;58
P8;200;10;0.054894208908081055;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;200;10;0.0549008846282959;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;200;10;0.013796567916870117;[1, 3, 0];111;115
P14;200;10;0.12944269180297852;[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;200;10;120.00003385543823;[0, 51150, 50934, 51098, 0, 0, 50861, 0, 50716, 50605, 50921, 50406, 50678, 238291];10715312;13890000
P20;200;10;120.00002026557922;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;200;15;0.013572454452514648;[0, 2, 1];13;19
P3;200;15;0.04685854911804199;[0, 0, 6, 4];42;58
P4;200;15;0.07654929161071777;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;200;15;0.09630155563354492;[0, 0, 0, 0, 2, 1, 1, 2, 7];49;58
P8;200;15;0.05556917190551758;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;200;15;0.05463051795959473;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;200;15;0.013723373413085938;[1, 3, 0];111;115
P14;200;15;0.16281437873840332;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;200;15;120.00001215934753;[45763, 45934, 45796, 45945, 45739, 45599, 45740, 46086, 45722, 46262, 46229, 46173, 45809, 233786];10502265;13890000
P20;200;15;120.00001525878906;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;350;2;0.021714448928833008;[0, 2, 1];13;19
P3;350;2;0.0651392936706543;[0, 2, 6, 1];41;58
P4;350;2;0.08553409576416016;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;350;2;0.10109972953796387;[0, 0, 1, 0, 5, 0, 0, 0, 1];47;58
P8;350;2;0.05952882766723633;[0, 0, 0, 0, 0, 1, 0, 0, 2];115;120
P9;350;2;0.058762550354003906;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;350;2;0.020728111267089844;[0, 2, 1];108;110
P14;350;2;0.1401047706604004;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;350;2;120.00000834465027;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 112032, 299708];11380303;13890000
P20;350;2;120.00000810623169;[0, 1, 0, 0, 0, 0, 0, 0, 0, 571945, 1586102];31226819;43160946
P1;350;5;0.023988962173461914;[0, 2, 1];13;19
P3;350;5;0.08141970634460449;[0, 1, 4, 6];42;58
P4;350;5;0.10744357109069824;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;350;5;0.12637042999267578;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;350;5;0.0740044116973877;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;350;5;0.07381248474121094;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;350;5;0.025452375411987305;[1, 3, 0];111;115
P14;350;5;0.1771397590637207;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;350;5;120.00000810623169;[0, 0, 0, 0, 0, 0, 0, 0, 0, 64946, 64956, 64923, 64977, 252522];10830767;13889999
P20;350;5;120.00002264976501;[0, 0, 316621, 0, 0, 0, 0, 317728, 318101, 316688, 457401];17966170;25646922
P1;350;10;0.023986339569091797;[0, 2, 1];13;19
P3;350;10;0.0821237564086914;[0, 0, 6, 4];42;58
P4;350;10;0.13094282150268555;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;350;10;0.1649937629699707;[0, 0, 1, 2, 4, 0, 0, 0, 3];49;58
P8;350;10;0.09561514854431152;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;350;10;0.09524869918823242;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;350;10;0.024061918258666992;[1, 3, 0];111;115
P14;350;10;0.22556710243225098;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;350;10;120.00001573562622;[0, 50645, 50763, 50688, 0, 1, 50613, 0, 50744, 50422, 50945, 51157, 50801, 238050];10714490;13890000
P20;350;10;120.00000810623169;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;350;15;0.02384042739868164;[0, 2, 1];13;19
P3;350;15;0.08158683776855469;[0, 0, 6, 4];42;58
P4;350;15;0.13049721717834473;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;350;15;0.16413092613220215;[0, 0, 0, 0, 4, 0, 1, 1, 4];49;58
P8;350;15;0.09918522834777832;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;350;15;0.09865999221801758;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;350;15;0.02419757843017578;[1, 3, 0];111;115
P14;350;15;0.28249049186706543;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;350;15;120.00002908706665;[46281, 46214, 45939, 46195, 46120, 46003, 46185, 46279, 46275, 45807, 46019, 45715, 45950, 233729];10501952;13890000
P20;350;15;120.00001549720764;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;500;2;0.031106233596801758;[0, 2, 1];13;19
P3;500;2;0.09284186363220215;[0, 2, 6, 1];41;58
P4;500;2;0.12219619750976562;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;500;2;0.1454324722290039;[0, 0, 1, 0, 5, 0, 0, 0, 1];47;58
P8;500;2;0.08414268493652344;[0, 0, 0, 0, 0, 1, 0, 0, 2];115;120
P9;500;2;0.08417177200317383;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;500;2;0.02970123291015625;[0, 2, 1];108;110
P14;500;2;0.20500588417053223;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;500;2;120.00000834465027;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 112382, 299471];11381842;13890000
P20;500;2;120.00002145767212;[0, 0, 0, 0, 0, 0, 0, 0, 0, 571420, 1576501];31075975;42958420
P1;500;5;0.03410601615905762;[0, 2, 1];13;19
P3;500;5;0.11730170249938965;[0, 0, 6, 4];42;58
P4;500;5;0.15331673622131348;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;500;5;0.18010234832763672;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;500;5;0.10537457466125488;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;500;5;0.1041262149810791;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;500;5;0.03426790237426758;[1, 3, 0];111;115
P14;500;5;0.2544426918029785;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;500;5;120.00000786781311;[0, 0, 0, 0, 0, 0, 0, 1, 0, 64565, 64807, 65005, 65017, 252614];10831305;13890000
P20;500;5;120.00001263618469;[0, 0, 317161, 0, 0, 0, 0, 316372, 317184, 317834, 455824];17941451;25614767
P1;500;10;0.03426361083984375;[0, 2, 1];13;19
P3;500;10;0.11707687377929688;[0, 0, 6, 4];42;58
P4;500;10;0.1887814998626709;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;500;10;0.2364177703857422;[0, 1, 1, 2, 3, 0, 0, 0, 7];53;58
P8;500;10;0.14141321182250977;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;500;10;0.14054369926452637;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;500;10;0.034682512283325195;[1, 3, 0];111;115
P14;500;10;0.3236575126647949;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;500;10;120.00001454353333;[0, 50653, 50780, 50541, 0, 0, 50657, 1, 50595, 50489, 50457, 50690, 50896, 238440];10717090;13890000
P20;500;10;120.00001311302185;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;500;15;0.03392434120178223;[0, 2, 1];13;19
P3;500;15;0.11641812324523926;[0, 0, 6, 4];42;58
P4;500;15;0.18607592582702637;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;500;15;0.2351360321044922;[0, 0, 2, 1, 2, 0, 1, 1, 6];50;58
P8;500;15;0.14057707786560059;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;500;15;0.13778114318847656;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;500;15;0.03397512435913086;[1, 3, 0];111;115
P14;500;15;0.4074208736419678;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;500;15;120.00001215934753;[45973, 46375, 45834, 46294, 46165, 45763, 45579, 46065, 46132, 46094, 46043, 45986, 46171, 233528];10502638;13890000
P20;500;15;120.0000262260437;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
